source,path,line_no,text
W2V,txt_corpus\W2V_Corpus.txt,71020,the house plan be base on the ancient japanese concept of engawa a ledge that extend beyond the border of the house to invite in visitor to engage with the architecture
W2V,txt_corpus\W2V_Corpus.txt,71038,look at his intention and interpretation of the contemporary engawa the interior and exterior of a building be not distinct entity divide by a membrane but one continuous place
W2V,txt_corpus\W2V_Corpus.txt,71873,follow the yard path gently slope down to the building i come upon the elegant new entrance design by kengo kuma a curved roofed walkway cover in white tile that reflect lisbon change autumn sun
W2V,txt_corpus\W2V_Corpus.txt,71875,the design be inspire by a type of architectural structure call an engawa a sheltered walkway common in traditional japanese housing
W2V,txt_corpus\W2V_Corpus.txt,72110,in the narration of the benesse house oval lead to mu the mirror surface of the pond reflect the sky which indicate the concept of monono aware the sun cloud color of the sky and season be constantly and beautifully change with time
W2V,txt_corpus\W2V_Corpus.txt,72117,it can now be say that this place have ma the experiencer in the space have already be involve in ma float over mu in the light filter by en and through hashi with the reflect image of mono no aware in term of nature and time to set aidagara between these concept and himself or herself
W2V,txt_corpus\W2V_Corpus.txt,72184,ki spirit mind heart nature disposition motivation intention mood feeling atmosphere essence pneuma the spirit inherent in thing
W2V,txt_corpus\W2V_Corpus.txt,72198,wabi the beauty to be find in poverty and simplicity subdued taste quiet refinement sober refinement
W2V,txt_corpus\W2V_Corpus.txt,72472,Engawa a space visualization system that protects privacy
W2V,txt_corpus\W2V_Corpus.txt,72481,thus we develop engawa a system which recreate the movement of the participant in real time use cg allow one to livestream video while also protect the privacy of the participant
W2V,txt_corpus\W2V_Corpus.txt,72693,the gulbenkian museum project in lisbon emsuspender the japanese concept of engawa a transitional space that lie between indoors and outdoors
W2V,txt_corpus\W2V_Corpus.txt,72711,a traditional japanese house have an area call engawa the so call edge of the house
W2V,txt_corpus\W2V_Corpus.txt,72733,not only that but they allow sunlight and moonlight into the room which give room with washi base shōji a dreamlike beautiful atmosphere
W2V,txt_corpus\W2V_Corpus.txt,73088,Japanese words we cant translate shakkei the essence of japanese yard design
W2V,txt_corpus\W2V_Corpus.txt,73288,Ma the japanese aesthetic of negative space and time
W2V,txt_corpus\W2V_Corpus.txt,73310,ma the japanese aesthetic of negative space and time dans le gris
W2V,txt_corpus\W2V_Corpus.txt,73349,Tokonoma a showcase of ma
W2V,txt_corpus\W2V_Corpus.txt,73444,Sabi the luster of patina
W2V,txt_corpus\W2V_Corpus.txt,73583,Ma the space between things
W2V,txt_corpus\W2V_Corpus.txt,73697,this be ma the space between the edge the space and time in which we experience life
W2V,txt_corpus\W2V_Corpus.txt,73739,Ma the japanese concept of space and time
W2V,txt_corpus\W2V_Corpus.txt,73784,perhaps this could be consider a new form of digital ma an awareness of what be gain when the wifi be shut off
W2V,txt_corpus\W2V_Corpus.txt,73800,this state of mind be think to stem from ma a concept of space and spirituality that derive from zen buddhism
W2V,txt_corpus\W2V_Corpus.txt,73855,while the origin of this attention to absence might have originate with the teaching of zen buddhism and ma the impact of this perspective have extend into all area of life
W2V,txt_corpus\W2V_Corpus.txt,73868,Ma the balance between everything
W2V,txt_corpus\W2V_Corpus.txt,73882,The space of ma a graceful shift
W2V,txt_corpus\W2V_Corpus.txt,73894,Ma the significance of negative space in japanese art and architecture
W2V,txt_corpus\W2V_Corpus.txt,73895,ma the japanese concept of negative space be a fundamental principle in japanese art and architecture
W2V,txt_corpus\W2V_Corpus.txt,73946,Ma the one dimensional realm
W2V,txt_corpus\W2V_Corpus.txt,73958,Ma the two dimensional realm
W2V,txt_corpus\W2V_Corpus.txt,73966,Ma the three dimensional realm
W2V,txt_corpus\W2V_Corpus.txt,73986,tora no ma the tiger room be the name of a room in the abbot quarter at nanzenji in kyōto
W2V,txt_corpus\W2V_Corpus.txt,73991,Ma the four dimensional realm
W2V,txt_corpus\W2V_Corpus.txt,74027,Ma the realm of experience
W2V,txt_corpus\W2V_Corpus.txt,74042,Ma the realm of art
W2V,txt_corpus\W2V_Corpus.txt,74056,indeed komparu kunio regard noh as no more nor less than the art of ma the staging be mean to create a constantly transmute transform space ma of action the acting to do just enough to create the ma that be a blank space time where nothing be do the music to exist in the negative blank space generate by the actual sound and the dance to acquire the technique of non movement
W2V,txt_corpus\W2V_Corpus.txt,74064,Ma the realm of society
W2V,txt_corpus\W2V_Corpus.txt,74149,Ma the japanese concept of negative space
W2V,txt_corpus\W2V_Corpus.txt,74170,the essence of japanese aesthetic be a concept call ma the pure and indeed essential void between all thing
W2V,txt_corpus\W2V_Corpus.txt,74264,Ma the spaces between are everything
W2V,txt_corpus\W2V_Corpus.txt,74269,kerr explain ma the special appeal of japanese music lie almost completely in its rhythm which involve delicate variation and delay between note know as ma he write ma be everything
W2V,txt_corpus\W2V_Corpus.txt,74364,Finding ma the art of space in japan
W2V,txt_corpus\W2V_Corpus.txt,74627,when we sense that another self tune in to the event preacceleration with we a share moment of ma a feeling of togetherness emerge
W2V,txt_corpus\W2V_Corpus.txt,74809,one such concept be ma a japanese aesthetic that emphasize the beauty of negative space
W2V,txt_corpus\W2V_Corpus.txt,74854,enter the world of wabi sabi an ancient japanese philosophy that emsuspender the imperfect and celebrate the beauty of impermanence
W2V,txt_corpus\W2V_Corpus.txt,74901,in our pursuit of create serene and harmonious space we have delve into the world of wabi sabi an art form that celebrate imperfection and emsuspender the beauty that come with it
W2V,txt_corpus\W2V_Corpus.txt,78422,the reception room provide more scope for decoration than the other for one end of the room be occupy by a tokonoma an alcove with a canopy above it support by a pillar of fine or uncommon wood in which be hang the picture or set of picture that with the flower arrangement that usually accompany it be the only ornament
W2V,txt_corpus\W2V_Corpus.txt,78426,between the top of the fusuma and the ceiling be often a ramma an openwork frieze carve with pattern or landscape in wood or bamboo
W2V,txt_corpus\W2V_Corpus.txt,78519,other type of 19th and 20th century innovation include the revolve door the fold door the slide door inspire by the japanese shōji the canopy door and the roll door also open to the top
W2V,txt_corpus\W2V_Corpus.txt,78593,the spiritual awakening and wisdom realizee by these buddha then be transmit from master to disciple across 28 generation of semi historical or mythological buddhist teacher in india conclude with bodhidharma the monk who supposedly introduce true buddhism to china in the 5th century
W2V,txt_corpus\W2V_Corpus.txt,78705,the placement of object in the tokonoma an alcove for the display of art and the construction of the yard be consider from the eye level of a person seat on a tatami
W2V,txt_corpus\W2V_Corpus.txt,79593,a product of military necessity as well as an extension of the bold and outsize personality of its resident this innovative structure present enormous decorative challenge and opportunity to kanō eitoku the premier painter of the period
W2V,txt_corpus\W2V_Corpus.txt,80381,a product of military necessity as well as an extension of the bold and outsize personality of its resident this innovative structure present enormous decorative challenge and opportunity to kanō eitoku the premier painter of the period
W2V,txt_corpus\W2V_Corpus.txt,81046,the cha shitsu be completely bare except for the tokonoma the alcove in which painting pottery flower arrangement and other form of art be display
W2V,txt_corpus\W2V_Corpus.txt,87092,among these theory be the belief that the universe be the product of karma the law of the cause and effect of action
W2V,txt_corpus\W2V_Corpus.txt,87270,they include the community reliance on ambedkar own interpretation which be present in his book the buddha and his dhamma the community emphasis on a mythology concern the buddhist and aristocratic character of the mahar and its recognition of ambedkar himself as a saviour figure who be often consider to be a bodhisattva
W2V,txt_corpus\W2V_Corpus.txt,87296,the siam nikaya found during the reform of the late 18th century be a conservative and wealthy sect that admit only member of the goyigama the high sinhalese caste
W2V,txt_corpus\W2V_Corpus.txt,87402,they also teach the theory of karma the value of charity and compassion and the need to suppress the passion
W2V,txt_corpus\W2V_Corpus.txt,87525,unlike the dalai lama the panchen lama have usually be recognizee only as a spiritual ruler
W2V,txt_corpus\W2V_Corpus.txt,87730,all these capacity be account for in term of a carefully enumerate series of dhamma the element impermanent existence
W2V,txt_corpus\W2V_Corpus.txt,87740,through the classification of dhamma a person be define as an aggregate of many interrelated element govern by the law of karma thus destine to suffer good or bad consequence
W2V,txt_corpus\W2V_Corpus.txt,87832,important vernacular text include the 14th century traibhumikatha which be the oldest know full length text write in thai and the buddhadhamma a 20th century work by the thai monk prayudh payutto
W2V,txt_corpus\W2V_Corpus.txt,88075,the second be the daimoku the repetition both orally and in every action of the believer of the phrase namu myōhō renge kyō to affirm belief in the teaching and efficacy of the lotus sutra
W2V,txt_corpus\W2V_Corpus.txt,88512,bodhidharma the founder of chan zen buddhism be consider to be an indian yogi
W2V,txt_corpus\W2V_Corpus.txt,88711,some practice buddhists and scholar of buddhism believe that the process of accomodation and acculturation in the west and particularly in north america be lead to a fourth turning of the wheel of the dharma a new form of buddhism that will turn out to be quite different from the traditional form of theravada mahayana and vajrayana while incorporate aspect of each
W2V,txt_corpus\W2V_Corpus.txt,91567,in 1955 he see his price tower rise at bartlesville oklahoma a richly faceted concrete and copper fulfillment of the st mark tower he have design more than 25 year early
BERT,txt_corpus\BERT_Corpus.txt,720,The Japanese aesthetic principle of Ma refers to empty or open space. It removes all the unnecessary internal walls and opens up the space. The emptiness of spatial arrangement reduces everything down to the most essential quality.
BERT,txt_corpus\BERT_Corpus.txt,763,"As the samurai class gained power in the Kamakura period (1185 to 1333), the shinden-zukuri style changed, and in the Muromachi period (1333 to 1573), the shoin-zukuri style appeared. This style had a lasting influence on later Japanese architectural styles and became the basis of modern Japanese houses. Its characteristics were that sliding doors called fusuma and paper windows called shōji were fully adopted, and tatami mats were laid all over the room."
BERT,txt_corpus\BERT_Corpus.txt,799,"During the Muromachi period, shinden-zukuri style, which was the mainstream of the residences of Japanese nobles, declined, and shoin-zukuri, which developed from buke-zukuri of samurai class residences, became the mainstream. Shoin-zukuri had a lasting impact on later Japanese housing and is the basis of modern Japanese housing. In the old architectural style, tatami mats were laid only in a part of the room, but in the shoin-zukuri style, tatami mats were laid all over the room. In this style, sliding doors called fusuma were used to separate rooms, and an inner window called shoji, which was made by pasting paper permeable to sunlight on a wooden frame, was installed inside the wooden shutters. In the room, tokonoma (alcove for the display of art objects) and chigaidana (shelves built into the wall) were set up to decorate various things."
BERT,txt_corpus\BERT_Corpus.txt,862,"Japanese interior design is very efficient in the use of resources. Traditional and modern Japanese interiors have been flexible in use and designed mostly with natural materials. The spaces are used as multifunctional rooms. The rooms can be opened to create more space for a particular occasion or for more privacy, or vice versa closed-off by pulling closed paper screens called shōji."
BERT,txt_corpus\BERT_Corpus.txt,865,"Tatami mats are rice straw floor mats often used to cover the floor in Japan's interiors; in modern Japanese houses there are usually only one or two tatami rooms. Another way to connect rooms in Japan's interiors is through sliding panels made of wood and paper, like the shōji screens, or cloth. These panels are called fusuma and are used as an entire wall. They are traditionally hand painted."
BERT,txt_corpus\BERT_Corpus.txt,870,"A recessed space called tokonoma is often present in traditional as well as modern Japanese living rooms. This is the focus of the room and displays Japanese art, usually a painting or calligraphy."
BERT,txt_corpus\BERT_Corpus.txt,1372,"The Old Chinese *ma (無) is cognate with the Proto-Tibeto-Burman *ma, meaning 'not'. This reconstructed root is widely represented in Tibeto-Burman languages; for instance, ma means 'not' in both Tibetan and Burmese."
BERT,txt_corpus\BERT_Corpus.txt,1958,"A typical winter tea room layout in a 4.5 mat tea room, showing position of tatami, tokonoma, mizuya dōkō, hearth, guests and hostAn interior view of a large tea room with tatami and tokonoma. In the tokonoma is a hanging scroll, flower arrangement (not chabana style), and incense burner."
BERT,txt_corpus\BERT_Corpus.txt,2018,"Yoshimasa's tea master seems to have been Murata Jukō. He is known as the person who created the discreet, cool designs of the Japanese tea ceremony. He insisted on combining Chinese utensils and Japanese ceramics to harmonize the tastes of both countries. This deliberate use of very simple, even defective utensils, in the wabi-sabi spirit, is called wabi-cha. However, Jukō did not attach any particular importance to wabi: it was the disciple of one of his disciples, Takeno Jōō, who would impose it on both the utensils and the decoration of the tea room itself. Jōō's contribution marks the transition between the beginnings of Murata Jukō and the highly complex Japanese tea ceremony of Sen no Rikyū."
BERT,txt_corpus\BERT_Corpus.txt,2601,"In Japan, the yard has the same status as a work of art. Though each yard is different in its composition, they mostly use rock groupings and shrubs to represent a classic scene of mountains, valleys and waterfalls taken from Chinese landscape painting. In some cases it might be as abstract as just a few islands in a sea. Any Japanese yard may also incorporate existing scenery outside its confinement, for example the hills behind, as ""borrowed scenery"" (using a technique called Shakkei)."
BERT,txt_corpus\BERT_Corpus.txt,3214,"Literally, shoji means ""small obstructing thing"" (障子; it might be translated as ""screen""), and though this use is now obsolete, shoji was originally used for a variety of sight-obstructing panels, screens, or curtains, many portable, either free-standing or hung from lintels, used to divide the interior space of buildings. While shoji now exclusively means a translucent framework screen, and ""fusuma"" an opaque one, historic terminology is less clear-cut."
BERT,txt_corpus\BERT_Corpus.txt,3215,"Cloth-covered frame panels that fit between pillars (but did not yet slide in grooves) were invented in the 600s. They were used to screen bedrooms (like the curtains on a canopy bed), and called fusuma shoji (there were also bedclothes called ""fusuma""). When paper came to be used instead of cloth, fusuma shoji were also called karakami shoji. From the late 1100s to the early 1200s, translucent cloth and paper shoji were called akari-shōji (明障子), ""illuminating shoji"". It is not clear when translucent shoji were first used."
BERT,txt_corpus\BERT_Corpus.txt,3245,Portability has encouraged the use of shoji on ceremonial occasions and in theater. A person being thrown through shoji is an action-movie cliché.
BERT,txt_corpus\BERT_Corpus.txt,3354,"Villa incorporates many traditional Japanese ideas. One example of Katsura's use of traditional ideas is its use of raised floors with tatami mats covering them. Tatami are mats approximately 3 feet by 6 feet in length that are not only used as the floors of the villa, but are also used to define the dimensions of each individual room and the house as a whole. At Katsura, the mats are used to create the sprawling and pinwheel-like plan that it has today. The terraces and porches created by the arrangement of the tatami mats provide opportunities to view the landscape and link interior spaces with the outside world. The floors of each building of the site are also raised as well, which originally was derived from vernacular designs for granaries, as well as early imperial palaces. They serve the purpose of both keeping the floor dry while also giving hierarchy to the space. Another classic characteristic that the Katsura Imperial Villa utilizes is the use of screen walls (the shōji and the fusuma). In traditional Japanese Architecture, the shoji and the fusuma are used to separate the spaces created by the tatami mat into the various rooms of the house. The shoji is the generic term for the white and translucent screen door or wall that is reinforced with wooden lattice and can either be stationary, hanging, or sliding. The fusuma is a subcategory of the shoji and it is the white or painted moving screen partition used on the interior of the house. By moving the fusuma, when in conjunction with a stationary shoji, the resident is able to create new rooms within the architecture. For instance by moving one fusuma wall, one could transform two rooms into one large room and a small storage closet. In the Katsura Imperial Villa, the fusuma allows the rooms to change and open up to the natural world with exterior decks becoming extensions of the interior and framing views of the landscape. An example of this type of transformation is the moon viewing platform connected to the Old Shoin. Besides these characteristics, there are many traditional Japanese ideas that are used in the Katsura Imperial Villa, like the decorative alcove (tokonoma), built-in desk (tsukeshoin) and square mails."
BERT,txt_corpus\BERT_Corpus.txt,4140,"The composition of a Shinto shrine is extremely variable, and none of its possible features are necessarily present. Even the honden or sanctuary, the part which houses the kami and which is the centerpiece of a shrine, can be missing. However, since its grounds are sacred, they usually are surrounded by a fence made of stone or wood called tamagaki, while access is made possible by an approach called sandō. The entrances themselves are straddled by gates called torii, which are therefore the simplest way to identify a Shinto shrine."
BERT,txt_corpus\BERT_Corpus.txt,4162,"The torii is a gate which marks the entrance to a sacred area, usually but not necessarily a shrine. A shrine may have any number of torii (Fushimi Inari Taisha has thousands) made of wood, stone, metal, concrete or any other material. They can be found in different places within a shrine's precincts to signify an increased level of holiness."
BERT,txt_corpus\BERT_Corpus.txt,4473,"A yorishiro (依り代/依代/憑り代/憑代) in Shinto terminology is an object capable of attracting spirits called kami, thus giving them a physical space to occupy during religious ceremonies. Yorishiro are used during ceremonies to call the kami for worship. The word itself literally means ""approach substitute"". Once a yorishiro actually houses a kami, it is called a shintai. Ropes called shimenawa decorated with paper streamers called shide often surround yorishiro to make their sacredness manifest. Persons can play the same role as a yorishiro, and in that case are called yorimashi (憑坐, literally 'possessed person') or kamigakari (神懸り/神憑, literally 'kami possession')."
BERT,txt_corpus\BERT_Corpus.txt,4482,"Part of the reading disparity may have been due to the confusion between similar characters 社 and 杜. Many shrines still have on their grounds one of the original great yorishiro, a great tree surrounded by a sacred rope called shimenawa (標縄/注連縄/七五三縄). Now such trees have become divine by association, and no longer simply represent a kami."
